07-28 17:09:45.361   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.440   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.516   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.605   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.673   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.758   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.838   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.917   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:45.996   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.076   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.164   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.241   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.322   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.398   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.485   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.563   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.642   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.723   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.803   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.874   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:46.964   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.046   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.122   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.197   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.287   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.361   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.440   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.520   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.607   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.683   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.764   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.840   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:47.928   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:48.005   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:48.075   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:48.167   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:48.244   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:48.322   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
